Регион	Округ
Алтайский край	СФО
Амурская область	ДФО
Архангельская область	СЗФО
Астраханская  область	ЮФО
Белгородская область	ЦФО
Брянская область	ЦФО
Владимирская область	ЦФО
Волгоградская область	ЮФО
Вологодская область	СЗФО
Воронежская область	ЦФО
Еврейская автономная область	ДФО
Забайкальский край	ДФО
Ивановская область	ЦФО
Иркутская область	СФО
Кабардино-Балкарская Республика	СКФО
Калининградская область	СЗФО
Калужская область	ЦФО
Камчатский край	ДФО
Карачаево-Черкесская Республика	СКФО
Кемеровская область	СФО
Кировская область	ПФО
Костромская область	ЦФО
Краснодарский край	ЮФО
Красноярский край	СФО
Курганская область	УФО
Курская область	ЦФО
Ленинградская область	СЗФО
Липецкая область	ЦФО
Магаданская область	ДФО
Москва	ЦФО
Московская область	ЦФО
Мурманская область	СЗФО
Ненецкий автономный округ	СЗФО
Нижегородская область	ПФО
Новгородская область	СЗФО
Новосибирская область	СФО
Омская область	СФО
Оренбургская область	ПФО
Орловская область	ЦФО
Пензенская область	ПФО
Пермский край	ПФО
Приморский край	ДФО
Псковская область	СЗФО
Республика Адыгея	ЮФО
Республика Алтай	СФО
Республика Башкортостан	ПФО
Республика Бурятия	ДФО
Республика Дагестан	СКФО
Республика Ингушетия	СКФО
Республика Калмыкия	ЮФО
Республика Карелия	СЗФО
Республика Коми	СЗФО
Республика Крым	ЮФО
Республика Марий Эл	ПФО
Республика Мордовия	ПФО
Республика Саха (Якутия)	ДФО
Республика Северная Осетия - Алания	СКФО
Республика Татарстан	ПФО
Республика Тыва	СФО
Республика Хакасия	СФО
Ростовская область	ЮФО
Рязанская область	ЦФО
Самарская область	ПФО
Санкт-Петербург	СЗФО
Саратовская область	ПФО
Сахалинская область	ДФО
Свердловская область	УФО
Севастополь	ЮФО
Смоленская область	ЦФО
Ставропольский край	СКФО
Тамбовская область	ЦФО
Тверская область	ЦФО
Томская область	СФО
Тульская область	ЦФО
Тюменская область	УФО
Удмуртская Республика	ПФО
Ульяновская область	ПФО
Хабаровский край	ДФО
Ханты-Мансийский автономный округ - Югра	УФО
Челябинская область	УФО
Чеченская Республика	СКФО
Чувашская Республика	ПФО
Чукотский автономный округ	ДФО
Ямало-Ненецкий автономный округ	УФО
Ярославская область	ЦФО
