,Регион,"Региональные органы исполнительной власти (Кол-во структур, ед)","Региональные органы исполнительной власти (Всего кол-во сотрудников, чел)",Региональные органы исполнительной власти (Всего с профильным образованием),"Региональные органы исполнительной власти (Всего объeм финансирования, руб)",Региональные органы исполнительной власти (Расходы на мероприятия),Региональные органы исполнительной власти (Расходы на адм функции),Региональные органы исполнительной власти (Расходы на ремонт),"Бюджетные учреждения (Кол-во структур, ед)","Бюджетные учреждения (Всего кол-во сотрудников, чел)",Бюджетные учреждения (Всего с профильным образованием),"Бюджетные учреждения (Всего объeм финансирования, руб)",Бюджетные учреждения (Расходы на мероприятия),Бюджетные учреждения (Расходы на адм функции),Бюджетные учреждения (Расходы на ремонт),"Муниципальные органы испольнительной власти (Кол-во структур, ед)","Муниципальные органы испольнительной власти (Всего кол-во сотрудников, чел)",Муниципальные органы испольнительной власти (Всего с профильным образованием),"Муниципальные органы испольнительной власти (Всего объeм финансирования, руб)",Муниципальные органы испольнительной власти (Расходы на мероприятия),Муниципальные органы испольнительной власти (Расходы на адм функции),Муниципальные органы испольнительной власти (Расходы на ремонт),"Муниципальные бюджетные учреждения (Кол-во структур, ед)","Муниципальные бюджетные учреждения (Всего кол-во сотрудников, чел)",Муниципальные бюджетные учреждения (Всего с профильным образованием),"Муниципальные бюджетные учреждения (Всего объeм финансирования, руб)",Муниципальные бюджетные учреждения (Расходы на мероприятия),Муниципальные бюджетные учреждения (Расходы на адм функции),Муниципальные бюджетные учреждения (Расходы на ремонт),"Региональные структуры по работе с молодeжью (Кол-во структур, ед)","Региональные структуры по работе с молодeжью (Всего кол-во сотрудников, чел)",Региональные структуры по работе с молодeжью (Всего с профильным образованием),"Региональные структуры по работе с молодeжью (Всего объeм финансирования, руб)",Региональные структуры по работе с молодeжью (Расходы на мероприятия),Региональные структуры по работе с молодeжью (Расходы на адм функции),Региональные структуры по работе с молодeжью (Расходы на ремонт),"Муниципальные структуры по работе с молодeжью (Кол-во структур, ед)","Муниципальные структуры по работе с молодeжью (Всего кол-во сотрудников, чел)",Муниципальные структуры по работе с молодeжью (Всего с профильным образованием),"Муниципальные структуры по работе с молодeжью (Всего объeм финансирования, руб)",Муниципальные структуры по работе с молодeжью (Расходы на мероприятия),Муниципальные структуры по работе с молодeжью (Расходы на адм функции),Муниципальные структуры по работе с молодeжью (Расходы на ремонт),Округ
0,Алтайский край,1.0,28.0,0.0,34404000,7000000.0,27404000.0,0.0,2.0,51.0,1.0,86839602,61186270.0,24864310.0,789022.0,69.0,92.0,19.0,10204299,4903131.0,5141168.0,160000.0,11.0,35.0,14.0,1270000,914450.0,161550.0,194000.0,3.0,79.0,1.0,121243602,68186270.0,52268310.0,789022.0,80.0,127.0,33.0,11474299,5817581.0,5302718.0,354000.0,СФО
1,Амурская область,1.0,44.0,0.0,43890792,13854300.0,30036492.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,28.0,40.0,5.0,11122640,6559123.0,4563517.0,0.0,6.0,37.0,0.0,38941047,2736264.0,23192566.0,13012217.0,1.0,44.0,0.0,43890792,13854300.0,30036492.0,0.0,34.0,77.0,5.0,50063687,9295387.0,27756083.0,13012217.0,ДФО
2,Архангельская область,1.0,23.0,4.0,91594226,85017200.0,6577026.0,0.0,4.0,103.0,40.0,385586600,148776600.0,76037000.0,160773000.0,25.0,45.0,18.0,34389164,23523141.0,10866023.0,0.0,3.0,83.0,39.0,71271239,4603498.0,57946764.0,8720977.0,5.0,126.0,44.0,477180826,233793800.0,82614026.0,160773000.0,28.0,128.0,57.0,105660403,28126639.0,68812787.0,8720977.0,СЗФО
3,Астраханская  область,1.0,13.0,9.0,10497327,0.0,10497327.0,0.0,3.0,106.0,29.0,76628631,32940727.0,43687904.0,0.0,11.0,33.0,2.0,17714081,8091679.0,9622402.0,0.0,26.0,147.0,34.0,34690390,2097701.0,31792689.0,800000.0,4.0,119.0,38.0,87125958,32940727.0,54185231.0,0.0,37.0,180.0,36.0,52404471,10189380.0,41415091.0,800000.0,ЮФО
4,Белгородская область,1.0,10.0,8.0,24298507,24298507.0,0.0,0.0,1.0,84.0,54.0,64749957,18383771.0,46366186.0,0.0,22.0,71.0,15.0,43811523,16985742.0,26817781.0,8000.0,16.0,106.0,4.0,50734602,5309159.0,45425443.0,0.0,2.0,94.0,62.0,89048464,42682278.0,46366186.0,0.0,38.0,177.0,19.0,94546125,22294901.0,72243224.0,8000.0,ЦФО
5,Брянская область,1.0,7.0,5.0,18262455,18262455.0,0.0,0.0,1.0,5.0,0.0,5850000,5850000.0,0.0,0.0,31.0,48.0,9.0,7273423,4821171.0,2452252.0,0.0,5.0,20.0,3.0,421213,147057.0,274156.0,0.0,2.0,12.0,5.0,24112455,24112455.0,0.0,0.0,36.0,68.0,12.0,7694636,4968228.0,2726408.0,0.0,ЦФО
6,Владимирская область,1.0,13.0,1.0,137284,137284.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,16.0,45.0,2.0,91878291,10194697.0,81683594.0,0.0,15.0,161.0,5.0,98747296,2448223.0,94640051.0,1659022.0,1.0,13.0,1.0,137284,137284.0,0.0,0.0,31.0,206.0,7.0,190625587,12642920.0,176323645.0,1659022.0,ЦФО
7,Волгоградская область,1.0,10.0,10.0,6144200,1675500.0,4468700.0,0.0,4.0,154.0,45.0,110451410,38716210.0,71735200.0,0.0,36.0,127.0,16.0,58406923,18033374.0,40373549.0,0.0,127.0,933.0,172.0,445333220,219038383.0,185368661.0,40926176.0,5.0,164.0,55.0,116595610,40391710.0,76203900.0,0.0,163.0,1060.0,188.0,503740143,237071757.0,225742210.0,40926176.0,ЮФО
8,Вологодская область,1.0,6.0,2.0,0,0.0,0.0,0.0,1.0,38.0,2.0,121426700,89550639.0,31876061.0,0.0,28.0,37.0,0.0,5185111,4852882.0,332229.0,0.0,7.0,62.0,1.0,39044568,9145865.0,29586623.0,312080.0,2.0,44.0,4.0,121426700,89550639.0,31876061.0,0.0,35.0,99.0,1.0,44229679,13998747.0,29918852.0,312080.0,СЗФО
9,Воронежская область,1.0,6.0,0.0,10903639,4457058.0,6446581.0,0.0,1.0,56.0,6.0,58523312,26208871.0,32314441.0,0.0,40.0,61.0,11.0,30173126,10198061.0,19586765.0,388300.0,6.0,78.0,1.0,32413834,4682533.0,27142801.0,588500.0,2.0,62.0,6.0,69426951,30665929.0,38761022.0,0.0,46.0,139.0,12.0,62586960,14880594.0,46729566.0,976800.0,ЦФО
